"";"Artikel";"name";"Bruttobetrag";"Nettobetrag";"Verkaufte.Stücke";"Gewicht.verkauft";"Durchschnittlicher.Preis";"Rabattierter.Betrag";"Durchschnittlicher.Rabatt";"Referenzbetrag";"Ref..";"Tot..Umsatz";"source";"year"
"132";"A10002";"Green";1584;1584;199;NA;7,96;0;0;1584;100;20,2897436882758;"KW04.xlsx";2016
"133";"A100039";"Portion Pommes";27,5;27,5;5;NA;5,5;0;0;27,5;100;0,352252494588121;"KW04.xlsx";2016
"134";"A10004";"Brot Stück";0,3;0,3;1;NA;0,3;0;0;0,3;100;0,00384275448641586;"KW04.xlsx";2016
"135";"A10005";"Menu Suppe";19;19;12;NA;1,58;0;0;19;100;0,243374450806338;"KW04.xlsx";2016
"136";"A10006";"Menu Salat";169,5;169,5;109;NA;1,56;0;0;169,5;100;2,17115628482496;"KW04.xlsx";2016
"137";"A10007";"Senf Mayo Ketschup";4,5;4,5;9;NA;0,5;0;0;4,5;100;0,0576413172962379;"KW04.xlsx";2016
"138";"A10011";"Kitchen 1";10;10;1;NA;10;0;0;10;100;0,128091816213862;"KW04.xlsx";2016
"139";"A10012";"Kitchen 2";476;476;43;NA;11,07;0;0;476;100;6,09717045177984;"KW04.xlsx";2016
"140";"A10013";"Kitchen 3";419;419;35;NA;11,97;0;0;419;100;5,36704709936082;"KW04.xlsx";2016
"141";"A10014";"Kitchen 4";789;789;61;NA;12,93;0;0;789;100;10,1064442992737;"KW04.xlsx";2016
"142";"A10020";"Local 0";929;929;115;NA;8,08;0;0;929;100;11,8997297262678;"KW04.xlsx";2016
"143";"A10040";"Garden";214,6;214,6;32;9,294;23,09;0;0;214,6;100;2,74885037594948;"KW04.xlsx";2016
"144";"A10061";"Frucht -.80";0,8;0,8;1;NA;0,8;0;0;0,8;100;0,010247345297109;"KW04.xlsx";2016
"145";"A10063";"Frucht 1.00";38;38;38;NA;1;0;0;38;100;0,486748901612676;"KW04.xlsx";2016
"146";"A100700";"Yogi";1,6;1,6;1;NA;1,6;0;0;1,6;100;0,0204946905942179;"KW04.xlsx";2016
"147";"A10100";"Gipfel";14,3;14,3;11;NA;1,3;0;0;14,3;100;0,183171297185823;"KW04.xlsx";2016
"148";"A10108";"Laugenbrezel mit Butter";4,4;4,4;2;NA;2,2;0;0;4,4;100;0,0563603991340993;"KW04.xlsx";2016
"149";"A10111";"Schoggi Fair";4,6;4,6;2;NA;2,3;0;0;4,6;100;0,0589222354583766;"KW04.xlsx";2016
"150";"A10119";"Studentenschnitte ";4,8;4,8;2;NA;2,4;0;0;4,8;100;0,0614840717826538;"KW04.xlsx";2016
"151";"A10120";"Mandelbrezel ";4,8;4,8;2;NA;2,4;0;0;4,8;100;0,0614840717826538;"KW04.xlsx";2016
