Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10005,Menu Suppe,15.5,15.5,9,NA,1.72,0,0,15.5,100,0.79,09.12.csv,2016
A10006,Menu Salat,15,15,10,NA,1.5,0,0,15,100,0.76,09.12.csv,2016
A10012,Kitchen 2,190,190,18,NA,10.56,0,0,190,100,9.63,09.12.csv,2016
A10014,Kitchen 4,13,13,1,NA,13,0,0,13,100,0.66,09.12.csv,2016
A10040,Garden,214.5,214.5,29,9.18,23.37,0,0,214.5,100,10.88,09.12.csv,2016
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.05,09.12.csv,2016
A10072,Schichtjoghurt,6,6,2,NA,3,0,0,6,100,0.3,09.12.csv,2016
A10120,Mandelbrezel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.12,09.12.csv,2016
A10122,Nussbrille,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.12,09.12.csv,2016
A10130,Vanillekreuz,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.24,09.12.csv,2016
A10200,Birchermüesli Classic,10.1,10.1,3,NA,3.37,0,0,10.1,100,0.51,09.12.csv,2016
A10411,Sandwich Power Ham,4,4,1,NA,4,0,0,4,100,0.2,09.12.csv,2016
A10450,Sandwich Laugenkaiser,4,4,1,NA,4,0,0,4,100,0.2,09.12.csv,2016
Total Gruppe,NA,1972.3,1972.3,275,9.18,7.17,0,0,1972.3,NA,100,09.12.csv,2016
A10000,Küche,15,15,2,NA,7.5,0,0,15,100,0.71,12.12.csv,2016
A10001,Favorite,910,910,117,NA,7.78,0,0,910,100,42.92,12.12.csv,2016
A10002,Green,561,561,76,NA,7.38,0,0,561,100,26.46,12.12.csv,2016
A10005,Menu Suppe,10.5,10.5,7,NA,1.5,0,0,10.5,100,0.5,12.12.csv,2016
A10006,Menu Salat,31,31,20,NA,1.55,0,0,31,100,1.46,12.12.csv,2016
A10007,Senf Mayo Ketschup,1.5,1.5,3,NA,0.5,0,0,1.5,100,0.07,12.12.csv,2016
A10012,Kitchen 2,196,196,17,NA,11.53,0,0,196,100,9.24,12.12.csv,2016
A10040,Garden,315.8,315.8,40,13.642,23.15,0,0,315.8,100,14.89,12.12.csv,2016
A10063,Frucht 1.00,2,2,2,NA,1,0,0,2,100,0.09,12.12.csv,2016
A10108,Laugenbrezel mit Butter,4.4,4.4,2,NA,2.2,0,0,4.4,100,0.21,12.12.csv,2016
A10119,Studentenschnitte ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,12.12.csv,2016
A10126,Apfel im Schlafrock,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,12.12.csv,2016
A10139,Zitronencake-Schnitte 100g verpackt,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,12.12.csv,2016
A10144,Trockengebäck 100g verpackt,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.1,12.12.csv,2016
A10148,Fruchttörtli,5.3,5.3,2,NA,2.65,0,0,5.3,100,0.25,12.12.csv,2016
A10162,Bienenstich,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,12.12.csv,2016
A10200,Birchermüesli Classic,10.6,10.6,3,NA,3.53,0,0,10.6,100,0.5,12.12.csv,2016
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.19,12.12.csv,2016
A10411,Sandwich Power Ham,4,4,1,NA,4,0,0,4,100,0.19,12.12.csv,2016
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.21,12.12.csv,2016
A10415,Sandwich Turkey,11,11,2,NA,5.5,0,0,11,100,0.52,12.12.csv,2016
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.28,12.12.csv,2016
A10417,Sandwich Softie,4,4,1,NA,4,0,0,4,100,0.19,12.12.csv,2016
A10425,Sandwich Italien,6,6,1,NA,6,0,0,6,100,0.28,12.12.csv,2016
A10452,Crispy Chicken,6,6,1,NA,6,0,0,6,100,0.28,12.12.csv,2016
Total Gruppe,NA,2120.4,2120.4,305,13.642,6.95,0,0,2120.4,NA,100,12.12.csv,2016
A10001,Favorite,1111,1111,144,NA,7.72,0,0,1111,100,43.45,13.12.csv,2016
A10002,Green,797,797,107,NA,7.45,0,0,797,100,31.17,13.12.csv,2016
A10004,Brot Stück,0.3,0.3,1,NA,0.3,0,0,0.3,100,0.01,13.12.csv,2016
A10005,Menu Suppe,8.5,8.5,5,NA,1.7,0,0,8.5,100,0.33,13.12.csv,2016
A10006,Menu Salat,73,73,48,NA,1.52,0,0,73,100,2.85,13.12.csv,2016
A10014,Kitchen 4,101,101,8,NA,12.63,0,0,101,100,3.95,13.12.csv,2016
A10040,Garden,381.7,381.7,50,16.468,23.18,0,0,381.7,100,14.93,13.12.csv,2016
A10072,Schichtjoghurt,6,6,2,NA,3,0,0,6,100,0.23,13.12.csv,2016
A10101,Ragusa-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.09,13.12.csv,2016
A10128,Aprikosenjalousie,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.09,13.12.csv,2016
A10129,Aprikosen-Bögli,2.9,2.9,1,NA,2.9,0,0,2.9,100,0.11,13.12.csv,2016
A10139,Zitronencake-Schnitte 100g verpackt,9.6,9.6,4,NA,2.4,0,0,9.6,100,0.38,13.12.csv,2016
A10144,Trockengebäck 100g verpackt,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.09,13.12.csv,2016
A10200,Birchermüesli Classic,10.1,10.1,3,NA,3.37,0,0,10.1,100,0.39,13.12.csv,2016
A10409,Sandwich Appenzell,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.22,13.12.csv,2016
A10411,Sandwich Power Ham,8,8,2,NA,4,0,0,8,100,0.31,13.12.csv,2016
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.18,13.12.csv,2016
A10415,Sandwich Turkey,6,6,1,NA,6,0,0,6,100,0.23,13.12.csv,2016
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.23,13.12.csv,2016
A10417,Sandwich Softie,4,4,1,NA,4,0,0,4,100,0.16,13.12.csv,2016
A10450,Sandwich Laugenkaiser,4,4,1,NA,4,0,0,4,100,0.16,13.12.csv,2016
A10451,Sandwich Bauette,5,5,1,NA,5,0,0,5,100,0.2,13.12.csv,2016
A10452,Crispy Chicken,6,6,1,NA,6,0,0,6,100,0.23,13.12.csv,2016
Total Gruppe,NA,2557.1,2557.1,386,16.468,6.62,0,0,2557.1,NA,100,13.12.csv,2016
A10000,Küche,10,10,2,NA,5,0,0,10,100,0.44,14.12.csv,2016
A10001,Favorite,1091,1091,138,NA,7.91,0,0,1091,100,48.39,14.12.csv,2016
A10002,Green,350,350,46,NA,7.61,0,0,350,100,15.53,14.12.csv,2016
A10004,Brot Stück,0.3,0.3,1,NA,0.3,0,0,0.3,100,0.01,14.12.csv,2016
A10005,Menu Suppe,14.5,14.5,9,NA,1.61,0,0,14.5,100,0.64,14.12.csv,2016
A10006,Menu Salat,18,18,10,NA,1.8,0,0,18,100,0.8,14.12.csv,2016
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.02,14.12.csv,2016
A10014,Kitchen 4,374,374,28,NA,13.36,0,0,374,100,16.59,14.12.csv,2016
A10040,Garden,316.4,316.4,41,13.668,23.15,0,0,316.4,100,14.03,14.12.csv,2016
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.04,14.12.csv,2016
A10112,Maisbrötli,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.08,14.12.csv,2016
A10121,Mandelschnecke ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,14.12.csv,2016
A10126,Apfel im Schlafrock,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.21,14.12.csv,2016
A10135,Wähe,18,18,4,NA,4.5,0,0,18,100,0.8,14.12.csv,2016
A10139,Zitronencake-Schnitte 100g verpackt,7.2,7.2,3,NA,2.4,0,0,7.2,100,0.32,14.12.csv,2016
A10200,Birchermüesli Classic,9.6,9.6,3,NA,3.2,0,0,9.6,100,0.43,14.12.csv,2016
A10409,Sandwich Appenzell,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.24,14.12.csv,2016
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.18,14.12.csv,2016
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.2,14.12.csv,2016
A10415,Sandwich Turkey,11,11,2,NA,5.5,0,0,11,100,0.49,14.12.csv,2016
A10425,Sandwich Italien,6,6,1,NA,6,0,0,6,100,0.27,14.12.csv,2016
A10450,Sandwich Laugenkaiser,4,4,1,NA,4,0,0,4,100,0.18,14.12.csv,2016
Total Gruppe,NA,2254.4,2254.4,298,13.668,7.57,0,0,2254.4,NA,100,14.12.csv,2016
A10000,Küche,161,161,3,NA,53.67,0,0,161,100,8.39,15.12.csv,2016
A10001,Favorite,1020,1020,127,NA,8.03,0,0,1020,100,53.14,15.12.csv,2016
A10002,Green,210,210,27,NA,7.78,0,0,210,100,10.94,15.12.csv,2016
A10005,Menu Suppe,3,3,2,NA,1.5,0,0,3,100,0.16,15.12.csv,2016
A10006,Menu Salat,27,27,16,NA,1.69,0,0,27,100,1.41,15.12.csv,2016
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.03,15.12.csv,2016
A10011,Kitchen 1,141,141,13,NA,10.85,0,0,141,100,7.35,15.12.csv,2016
A10014,Kitchen 4,13,13,1,NA,13,0,0,13,100,0.68,15.12.csv,2016
A10040,Garden,253.9,253.9,31,10.978,23.13,0,0,253.9,100,13.23,15.12.csv,2016
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.18,15.12.csv,2016
A10118,Brownie ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.25,15.12.csv,2016
A10200,Birchermüesli Classic,9.6,9.6,3,NA,3.2,0,0,9.6,100,0.5,15.12.csv,2016
A10409,Sandwich Appenzell,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.29,15.12.csv,2016
A10411,Sandwich Power Ham,4,4,1,NA,4,0,0,4,100,0.21,15.12.csv,2016
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.23,15.12.csv,2016
A10417,Sandwich Softie,4,4,1,NA,4,0,0,4,100,0.21,15.12.csv,2016
A10425,Sandwich Italien,12,12,2,NA,6,0,0,12,100,0.63,15.12.csv,2016
A10450,Sandwich Laugenkaiser,4,4,1,NA,4,0,0,4,100,0.21,15.12.csv,2016
A10452,Crispy Chicken,12,12,2,NA,6,0,0,12,100,0.63,15.12.csv,2016
L19100,Patisserie offen,26,26,12,NA,2.17,0,0,26,100,1.35,15.12.csv,2016
