Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
Total Gruppe,NA,1915.3,1915.3,281,12.52,6.82,0,0,1915.3,NA,100,26.10.csv,2016
A10001,Favorite,378,378,50,NA,7.56,0,0,378,100,24.26,27.10.csv,2016
A10002,Green,582,582,74,NA,7.86,0,0,582,100,37.36,27.10.csv,2016
A10006,Menu Salat,9,9,6,NA,1.5,0,0,9,100,0.58,27.10.csv,2016
A10014,Kitchen 4,206,206,16,NA,12.88,0,0,206,100,13.22,27.10.csv,2016
A10040,Garden,316.5,316.5,39,13.718,23.07,0,0,316.5,100,20.32,27.10.csv,2016
A10063,Frucht 1.00,3,3,3,NA,1,0,0,3,100,0.19,27.10.csv,2016
A10135,Wähe,9,9,2,NA,4.5,0,0,9,100,0.58,27.10.csv,2016
A10148,Fruchttörtli,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.31,27.10.csv,2016
A10200,Birchermüesli Classic,9.6,9.6,3,NA,3.2,0,0,9.6,100,0.62,27.10.csv,2016
A10409,Sandwich Appenzell,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.35,27.10.csv,2016
A10411,Sandwich Power Ham,4,4,1,NA,4,0,0,4,100,0.26,27.10.csv,2016
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.29,27.10.csv,2016
A10416,Sandwich Ticinese,12,12,2,NA,6,0,0,12,100,0.77,27.10.csv,2016
A10417,Sandwich Softie,4,4,1,NA,4,0,0,4,100,0.26,27.10.csv,2016
A10425,Sandwich Italien,6,6,1,NA,6,0,0,6,100,0.39,27.10.csv,2016
A10450,Sandwich Laugenkaiser,4,4,1,NA,4,0,0,4,100,0.26,27.10.csv,2016
Total Gruppe,NA,1557.9,1557.9,203,13.718,7.67,0,0,1557.9,NA,100,27.10.csv,2016
A10001,Favorite,590,590,75,NA,7.87,0,0,590,100,40.99,28.10.csv,2016
A10002,Green,453,453,60,NA,7.55,0,0,453,100,31.47,28.10.csv,2016
A100039,Portion Pommes,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.38,28.10.csv,2016
A10005,Menu Suppe,3,3,2,NA,1.5,0,0,3,100,0.21,28.10.csv,2016
A10006,Menu Salat,13.5,13.5,9,NA,1.5,0,0,13.5,100,0.94,28.10.csv,2016
A10014,Kitchen 4,193,193,15,NA,12.87,0,0,193,100,13.41,28.10.csv,2016
A10040,Garden,160.2,160.2,22,6.946,23.06,0,0,160.2,100,11.13,28.10.csv,2016
A10135,Wähe,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.31,28.10.csv,2016
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0,0,3.2,100,0.22,28.10.csv,2016
A10409,Sandwich Appenzell,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.38,28.10.csv,2016
A10417,Sandwich Softie,4,4,1,NA,4,0,0,4,100,0.28,28.10.csv,2016
A10450,Sandwich Laugenkaiser,4,4,1,NA,4,0,0,4,100,0.28,28.10.csv,2016
Total Gruppe,NA,1439.4,1439.4,189,6.946,7.62,0,0,1439.4,NA,100,28.10.csv,2016
A10001,Favorite,944,944,121,NA,7.8,0,0,944,100,53.83,31.10.csv,2016
A10002,Green,254,254,34,NA,7.47,0,0,254,100,14.48,31.10.csv,2016
A10004,Brot Stück,0.3,0.3,1,NA,0.3,0,0,0.3,100,0.02,31.10.csv,2016
A10005,Menu Suppe,18,18,12,NA,1.5,0,0,18,100,1.03,31.10.csv,2016
A10006,Menu Salat,19.5,19.5,13,NA,1.5,0,0,19.5,100,1.11,31.10.csv,2016
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.03,31.10.csv,2016
A10014,Kitchen 4,114,114,9,NA,12.67,0,0,114,100,6.5,31.10.csv,2016
A10040,Garden,325.5,325.5,42,14.14,23.02,0,0,325.5,100,18.56,31.10.csv,2016
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.06,31.10.csv,2016
A10072,Schichtjoghurt,6,6,2,NA,3,0,0,6,100,0.34,31.10.csv,2016
A10108,Laugenbrezel mit Butter,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.13,31.10.csv,2016
A10126,Apfel im Schlafrock,2.9,2.9,1,NA,2.9,0,0,2.9,100,0.17,31.10.csv,2016
A10139,Zitronencake-Schnitte 100g verpackt,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.27,31.10.csv,2016
A10144,Trockengebäck 100g verpackt,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.13,31.10.csv,2016
A10148,Fruchttörtli,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.14,31.10.csv,2016
A10200,Birchermüesli Classic,6.9,6.9,2,NA,3.45,0,0,6.9,100,0.39,31.10.csv,2016
A10409,Sandwich Appenzell,11,11,2,NA,5.5,0,0,11,100,0.63,31.10.csv,2016
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.23,31.10.csv,2016
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.31,31.10.csv,2016
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.34,31.10.csv,2016
A10417,Sandwich Softie,8,8,2,NA,4,0,0,8,100,0.46,31.10.csv,2016
A10450,Sandwich Laugenkaiser,4,4,1,NA,4,0,0,4,100,0.23,31.10.csv,2016
A10451,Sandwich Bauette,5,5,1,NA,5,0,0,5,100,0.29,31.10.csv,2016
A10452,Crispy Chicken,6,6,1,NA,6,0,0,6,100,0.34,31.10.csv,2016
Total Gruppe,NA,1753.7,1753.7,254,14.14,6.9,0,0,1753.7,NA,100,31.10.csv,2016
