Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10005,Menu Suppe,4.5,4.5,3,NA,1.5,0,0,4.5,100,0.27,15.12.csv,2015
A10006,Menu Salat,24,24,16,NA,1.5,0,0,24,100,1.45,15.12.csv,2015
A10013,Kitchen 3,72,72,6,NA,12,0,0,72,100,4.35,15.12.csv,2015
A10020,Local 0,308,308,42,NA,7.33,0,0,308,100,18.62,15.12.csv,2015
A10040,Garden,69.3,69.3,11,2.948,23.51,0,0,69.3,100,4.19,15.12.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.18,15.12.csv,2015
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.21,15.12.csv,2015
A10102,Mandelgipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.15,15.12.csv,2015
A10108,Laugenbrezel mit Butter,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.13,15.12.csv,2015
A10126,Apfel im Schlafrock,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.15,15.12.csv,2015
A10136,Muffin,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.15,15.12.csv,2015
A10144,Trockengebäck 100g verpackt,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.13,15.12.csv,2015
A10161,Muffin gross,9,9,3,NA,3,0,0,9,100,0.54,15.12.csv,2015
A10200,Birchermüesli Classic,12.8,12.8,4,NA,3.2,0,0,12.8,100,0.77,15.12.csv,2015
A10400,Sandwich klein,4,4,1,NA,4,0,0,4,100,0.24,15.12.csv,2015
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.27,15.12.csv,2015
Total Gruppe,NA,1654.2,1654.2,249,2.948,6.64,0,0,1654.2,NA,100,15.12.csv,2015
